"permission","defined","module","sub_module","action","allowed_scopes","definition_count","backend_uses","frontend_uses","sidebar_uses","files"
"branches.nav","yes","branches","navigation","nav","GLOBAL|BRANCH","1","0","0","0",""
"branches.view","yes","branches","management","view","GLOBAL|BRANCH","2","4","1","0","packages/api/routes/branches.ts|packages/web/src/pages/Branches.tsx"
"candidates.assignment.manage","yes","candidates","candidates","assignment_manage","GLOBAL|BRANCH","1","5","1","0","packages/api/routes/roles.ts|packages/api/services/candidateOwnershipService.test.ts|packages/api/services/candidateOwnershipService.ts|packages/web/src/components/candidates/AddCandidateModal.tsx"
"candidates.can_be_assigned","yes","candidates","candidates","can_be_assigned","GLOBAL|BRANCH","1","0","0","0",""
"candidates.create","yes","candidates","candidates","create","GLOBAL|BRANCH","1","4","4","0","packages/api/policies/nameNominationPolicy.test.ts|packages/api/routes/candidateDetailContract.test.ts|packages/api/routes/candidates.ts|packages/api/routes/serviceRequests.ts|packages/web/src/components/candidates/AddCandidateModal.tsx|packages/web/src/pages/candidates/CandidatesEntry.tsx|packages/web/src/pages/service-requests/ServiceRequestDetailPage.tsx"
"candidates.delete","yes","candidates","candidates","delete","GLOBAL|BRANCH","1","1","0","0","packages/api/routes/candidates.ts"
"candidates.edit","yes","candidates","candidates","edit","GLOBAL|BRANCH","1","2","2","0","packages/api/routes/candidates.ts|packages/web/src/components/candidates/SessionDetailsModal.tsx|packages/web/src/pages/candidates/CandidatesEntry.tsx"
"candidates.name_lists.assignment.manage","yes","candidates","name_lists","assignment_manage","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/roles.ts|packages/web/src/components/candidates/CreateReferralSessionModal.tsx"
"candidates.name_lists.can_be_assigned","yes","candidates","name_lists","can_be_assigned","GLOBAL|BRANCH","1","0","0","0",""
"candidates.name_lists.create","yes","candidates","name_lists","create","GLOBAL|BRANCH","1","1","2","0","packages/api/routes/referralSheets.ts|packages/web/src/components/candidates/CreateReferralSessionModal.tsx|packages/web/src/pages/candidates/CandidatesEntry.tsx"
"candidates.name_lists.delete","yes","candidates","name_lists","delete","GLOBAL|BRANCH","1","0","0","0",""
"candidates.name_lists.edit","yes","candidates","name_lists","edit","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/referralSheets.ts|packages/web/src/components/candidates/SessionDetailsModal.tsx"
"candidates.name_lists.view_list","yes","candidates","name_lists","view_list","GLOBAL|BRANCH","1","21","2","0","packages/api/routes/referralSheets.ts|packages/api/services/reporting/breakdownCatalog.ts|packages/api/services/reporting/metricsCatalog.ts|packages/web/src/components/candidates/AddCandidateModal.tsx|packages/web/src/components/dashboard/widgetRegistry.ts|packages/web/src/pages/candidates/CandidatesEntry.tsx"
"candidates.view_list","yes","candidates","candidates","view_list","GLOBAL|BRANCH","1","31","1","0","packages/api/policies/candidatePolicy.test.ts|packages/api/policies/candidatePolicy.ts|packages/api/routes/candidateDetailContract.test.ts|packages/api/routes/candidates.ts|packages/api/services/reporting/breakdownCatalog.ts|packages/api/services/reporting/metricsCatalog.ts|packages/web/src/components/dashboard/widgetRegistry.ts|packages/web/src/pages/candidates/CandidatesEntry.tsx"
"catalog.manage","yes","catalog","devices","manage","GLOBAL","1","12","8","0","packages/api/routes/deviceModels.ts|packages/api/routes/spareParts.ts|packages/web/src/pages/DeviceDetail.tsx|packages/web/src/pages/DeviceManagement.tsx"
"clients.account_statement.view","yes","clients","profile_account_statement","view","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/clients.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.assignment.manage","yes","clients","assignment","assignment_manage","GLOBAL|BRANCH","1","2","1","0","packages/api/policies/clientPolicy.ts|packages/api/routes/roles.ts|packages/web/src/components/ClientModal.tsx"
"clients.call_log.create","yes","clients","profile_call_log","create","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/customerCalls.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.call_log.edit","yes","clients","profile_call_log","edit","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/customerCalls.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.call_log.view","yes","clients","profile_call_log","view","GLOBAL|BRANCH","1","2","1","0","packages/api/routes/customerCalls.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.can_be_assigned","yes","clients","clients","can_be_assigned","GLOBAL|BRANCH","1","0","0","0",""
"clients.contact_control.edit","yes","clients","profile_contact_control","edit","GLOBAL|BRANCH","1","2","3","0","packages/api/routes/clients.ts|packages/web/src/components/clients/ContactControlCard.tsx|packages/web/src/pages/ClientProfile.tsx|packages/web/src/pages/planning/PlanningContactTargets.tsx"
"clients.contacts.edit","yes","clients","profile_contacts","edit","GLOBAL|BRANCH","1","2","1","0","packages/api/routes/clients.ts|packages/web/src/pages/ClientProfile.tsx"
"clients.contacts.view","yes","clients","profile_contacts","view","GLOBAL|BRANCH","1","0","1","0","packages/web/src/pages/ClientProfile.tsx"
"clients.cooldown_unlock","yes","clients","clients","cooldown_unlock","GLOBAL|BRANCH","1","1","2","0","packages/api/routes/clients.ts|packages/web/src/components/clients/ContactControlCard.tsx|packages/web/src/pages/ClientProfile.tsx"
