"permission","defined","module","sub_module","action","allowed_scopes","definition_count","backend_uses","frontend_uses","sidebar_uses","files"
"field_visits.edit","yes","field_visits","visits","edit","GLOBAL|BRANCH","1","18","2","0","packages/api/policies/fieldVisitPolicy.test.ts|packages/api/policies/fieldVisitPolicy.ts|packages/api/routes/fieldVisits.ts|packages/web/src/pages/visits/VisitDetailPage.tsx|packages/web/src/pages/visits/VisitsListPage.tsx"
"field_visits.my_visits.view","yes","field_visits","my_visits","view","ASSIGNED","1","7","0","1","packages/api/routes/fieldVisits.ts|packages/api/routes/fieldVisitsReadAccess.test.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/lib/fieldVisitPermissionPolicy.test.ts"
"field_visits.reopen_closed","yes","field_visits","field_visits","reopen_closed","GLOBAL","1","2","1","0","packages/api/routes/fieldVisits.ts|packages/web/src/pages/visits/VisitDetailPage.tsx"
"field_visits.view","yes","field_visits","visits","view","GLOBAL|BRANCH","1","24","2","0","packages/api/policies/fieldVisitPolicy.test.ts|packages/api/policies/fieldVisitPolicy.ts|packages/api/routes/fieldVisits.ts|packages/api/routes/fieldVisitsReadAccess.test.ts|packages/api/services/complaints/complaintService.ts|packages/web/src/lib/fieldVisitPermissionPolicy.test.ts|packages/web/src/pages/ClientProfile.tsx|packages/web/src/pages/visits/VisitDetailPage.tsx"
"geo.manage","yes","geo","geography","manage","GLOBAL|BRANCH","1","4","1","0","packages/api/routes/geoUnits.ts|packages/web/src/pages/GeoSettings.tsx"
"geo.view","yes","geo","geography","view","GLOBAL|BRANCH","1","7","1","1","packages/api/routes/geoUnits.ts|packages/api/services/geoScopeService.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/GeoSettings.tsx"
"geo_units.lookup","yes","geo","geo_units","lookup","GLOBAL|BRANCH|ASSIGNED","1","6","0","0","packages/api/routes/geoUnits.ts|packages/api/services/complaints/complaintService.ts"
"golden_warranty.archive","yes","golden_warranty","service_requests","archive","GLOBAL|BRANCH","1","0","0","0",""
"golden_warranty.create","yes","golden_warranty","service_requests","create","GLOBAL|BRANCH","1","0","0","0",""
"golden_warranty.decide","yes","golden_warranty","service_requests","decide","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/serviceRequests.ts"
"golden_warranty.resolve_escalation","yes","golden_warranty","service_requests","resolve_escalation","GLOBAL|BRANCH","1","0","0","0",""
"golden_warranty.review","yes","golden_warranty","service_requests","review","GLOBAL|BRANCH|ASSIGNED","1","2","0","0","packages/api/services/serviceRequests/atomicClientLink.test.ts"
"golden_warranty.view","yes","golden_warranty","service_requests","view","GLOBAL|BRANCH|ASSIGNED","1","1","1","2","packages/api/routes/serviceRequests.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/ClientProfile.tsx"
"installed_devices.create_external","yes","devices","installed_devices","create_external","GLOBAL|BRANCH","1","3","0","0","packages/api/routes/installedDevices.ts|packages/api/routes/serviceRequests.ts"
"installed_devices.delivery_suspension.manage","yes","devices","installed_devices","delivery_suspension_manage","GLOBAL|BRANCH","1","4","1","0","packages/api/routes/installedDevices.ts|packages/api/services/deviceDeliverySuspension.test.ts|packages/web/src/pages/devices/DeviceProfilePage.tsx"
"installed_devices.possession.manage","yes","devices","installed_device_possession","manage","GLOBAL|BRANCH","1","1","0","0","packages/api/routes/devicePossession.ts"
"installed_devices.possession.view","yes","devices","installed_device_possession","view","GLOBAL|BRANCH","1","3","2","0","packages/api/policies/devicePossessionPolicy.test.ts|packages/api/routes/devicePossession.ts|packages/web/src/pages/clientProfile/DevicesTab.tsx|packages/web/src/pages/devices/DeviceProfilePage.tsx"
"installed_devices.update_service_data","yes","devices","installed_devices","update_service_data","GLOBAL|BRANCH","1","0","0","0",""
"installed_devices.view","yes","devices","installed_devices","view","GLOBAL|BRANCH|ASSIGNED","1","29","3","1","packages/api/routes/installedDevices.ts|packages/api/services/complaints/complaintService.ts|packages/api/services/reporting/breakdownCatalog.ts|packages/api/services/reporting/metricsCatalog.ts|packages/web/src/components/dashboard/widgetRegistry.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/devices/DeviceProfilePage.tsx|packages/web/src/pages/devices/InstalledDevicesList.tsx"
"jobs.applications.archive","yes","jobs","applications","archive","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/adminApplications.ts|packages/web/src/pages/jobs/ApplicationDetail.tsx"
"jobs.applications.change_stage","yes","jobs","applications","change_stage","GLOBAL|BRANCH|ASSIGNED","1","1","3","0","packages/api/routes/adminApplications.ts|packages/web/src/pages/jobs/ApplicationDetail.tsx"
"jobs.applications.create","yes","jobs","applications","create","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/adminApplications.ts|packages/web/src/pages/jobs/Applications.tsx"
"jobs.applications.edit_notes","yes","jobs","applications","edit_notes","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/adminApplications.ts"
"jobs.applications.escalate","yes","jobs","applications","escalate","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/adminApplications.ts|packages/web/src/pages/jobs/ApplicationDetail.tsx"
"jobs.applications.hire","yes","jobs","applications","hire","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/adminApplications.ts|packages/web/src/pages/jobs/ApplicationDetail.tsx"
"jobs.applications.record_decision","yes","jobs","applications","record_decision","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/adminApplications.ts|packages/web/src/pages/jobs/ApplicationDetail.tsx"
"jobs.applications.resolve_escalation","yes","jobs","applications","resolve_escalation","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/adminApplications.ts|packages/web/src/pages/jobs/ApplicationDetail.tsx"
"jobs.applications.view_audit_logs","yes","jobs","applications","view_audit_logs","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/adminApplications.ts|packages/web/src/pages/jobs/ApplicationDetail.tsx"
"jobs.applications.view_detail","yes","jobs","applications","view_detail","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/adminApplications.ts"
"jobs.applications.view_list","yes","jobs","applications","view_list","GLOBAL|BRANCH|ASSIGNED","1","17","0","0","packages/api/routes/adminApplications.ts|packages/api/services/reporting/breakdownCatalog.ts|packages/api/services/reporting/metricsCatalog.ts|packages/web/src/components/dashboard/widgetRegistry.ts"
"jobs.interviews.conduct","yes","jobs","interviews","conduct","GLOBAL|BRANCH|ASSIGNED","1","0","0","0",""
"jobs.interviews.edit","yes","jobs","interviews","edit","GLOBAL|BRANCH|ASSIGNED","1","2","1","0","packages/api/routes/interviews.ts|packages/web/src/pages/jobs/InterviewDetail.tsx"
"jobs.interviews.record_result","yes","jobs","interviews","record_result","GLOBAL|BRANCH|ASSIGNED","1","1","2","0","packages/api/routes/interviews.ts|packages/web/src/pages/jobs/InterviewDetail.tsx|packages/web/src/pages/jobs/Interviews.tsx"
"jobs.interviews.schedule","yes","jobs","interviews","schedule","GLOBAL|BRANCH|ASSIGNED","1","2","2","0","packages/api/routes/interviews.ts|packages/web/src/pages/jobs/ApplicationDetail.tsx|packages/web/src/pages/jobs/Interviews.tsx"
"jobs.interviews.view_detail","yes","jobs","interviews","view_detail","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/interviews.ts"
"jobs.interviews.view_eligible","yes","jobs","interviews","view_eligible","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/interviews.ts"
"jobs.interviews.view_list","yes","jobs","interviews","view_list","GLOBAL|BRANCH|ASSIGNED","1","9","0","0","packages/api/routes/interviews.ts|packages/api/services/reporting/breakdownCatalog.ts|packages/api/services/reporting/metricsCatalog.ts|packages/web/src/components/dashboard/widgetRegistry.ts"
"jobs.training.add_trainees","yes","jobs","training","add_trainees","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/trainingCourses.ts"
"jobs.training.be_trainer","yes","jobs","training","be_trainer","GLOBAL|BRANCH|ASSIGNED","1","0","0","0",""
"jobs.training.complete","yes","jobs","training","complete","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/trainingCourses.ts|packages/web/src/pages/jobs/TrainingCourseDetail.tsx"
"jobs.training.create","yes","jobs","training","create","GLOBAL|BRANCH|ASSIGNED","1","3","3","0","packages/api/routes/trainingCourses.ts|packages/web/src/pages/jobs/ApplicationDetail.tsx|packages/web/src/pages/jobs/TrainingCourseDetail.tsx|packages/web/src/pages/jobs/TrainingCourses.tsx"
"jobs.training.record_attendance","yes","jobs","training","record_attendance","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/trainingCourses.ts|packages/web/src/pages/jobs/TrainingCourseDetail.tsx"
"jobs.training.record_result","yes","jobs","training","record_result","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/trainingCourses.ts|packages/web/src/pages/jobs/TrainingCourseDetail.tsx"
"jobs.training.start","yes","jobs","training","start","GLOBAL|BRANCH|ASSIGNED","1","3","1","0","packages/api/policies/trainingCoursePolicy.test.ts|packages/api/routes/trainingCourses.ts|packages/web/src/pages/jobs/TrainingCourseDetail.tsx"
"jobs.training.view_detail","yes","jobs","training","view_detail","GLOBAL|BRANCH|ASSIGNED","1","2","1","0","packages/api/policies/trainingCoursePolicy.test.ts|packages/api/routes/trainingCourses.ts|packages/web/src/pages/jobs/ApplicationDetail.tsx"
"jobs.training.view_eligible","yes","jobs","training","view_eligible","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/trainingCourses.ts"
"jobs.training.view_list","yes","jobs","training","view_list","GLOBAL|BRANCH|ASSIGNED","1","4","0","0","packages/api/policies/trainingCoursePolicy.test.ts|packages/api/routes/trainingCourses.ts"
"jobs.vacancies.change_status","yes","jobs","vacancies","change_status","GLOBAL|BRANCH|ASSIGNED","1","1","2","0","packages/api/routes/vacancies.ts|packages/web/src/pages/jobs/Vacancies.tsx|packages/web/src/pages/jobs/VacancyDetail.tsx"
"jobs.vacancies.create","yes","jobs","vacancies","create","GLOBAL|BRANCH|ASSIGNED","1","1","1","0","packages/api/routes/vacancies.ts|packages/web/src/pages/jobs/Vacancies.tsx"
"jobs.vacancies.edit","yes","jobs","vacancies","edit","GLOBAL|BRANCH|ASSIGNED","1","1","2","0","packages/api/routes/vacancies.ts|packages/web/src/pages/jobs/Vacancies.tsx|packages/web/src/pages/jobs/VacancyDetail.tsx"
"jobs.vacancies.view_detail","yes","jobs","vacancies","view_detail","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/vacancies.ts"
"jobs.vacancies.view_list","yes","jobs","vacancies","view_list","GLOBAL|BRANCH|ASSIGNED","1","9","0","0","packages/api/routes/vacancies.ts|packages/api/services/reporting/breakdownCatalog.ts|packages/api/services/reporting/metricsCatalog.ts|packages/web/src/components/dashboard/widgetRegistry.ts"
"marketing_visits.update_result","yes","marketing_visits","visits","update_result","GLOBAL|BRANCH","1","10","0","0","packages/api/routes/emergencyResult.ts|packages/api/routes/workScopes.ts"
"marketing_visits.view","yes","marketing_visits","visits","view","GLOBAL|BRANCH","1","7","0","0","packages/api/routes/emergencyResult.ts|packages/api/routes/workScopes.ts"
"name_nomination.archive","yes","name_nomination","service_requests","archive","GLOBAL","1","0","0","0",""
"name_nomination.decide","yes","name_nomination","service_requests","decide","GLOBAL","1","0","0","0",""
"name_nomination.resolve_escalation","yes","name_nomination","service_requests","resolve_escalation","GLOBAL","1","0","0","0",""
"name_nomination.review","yes","name_nomination","service_requests","review","GLOBAL","1","0","0","0",""
"name_nomination.view","yes","name_nomination","service_requests","view","GLOBAL","1","1","1","2","packages/api/routes/serviceRequests.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/ClientProfile.tsx"
"open_tasks.edit","yes","open_tasks","tasks","edit","GLOBAL|BRANCH","1","22","6","0","packages/api/policies/openTaskPolicy.ts|packages/api/routes/customerPreOffers.ts|packages/api/routes/deviceWarranties.ts|packages/api/routes/openTasks.ts|packages/api/routes/serviceRequests.ts|packages/web/src/components/tasks/TaskDetailLayout.tsx|packages/web/src/pages/service-requests/ServiceRequestDetailPage.tsx"
"open_tasks.view","yes","open_tasks","tasks","view","GLOBAL|BRANCH","1","17","2","0","packages/api/policies/openTaskPolicy.test.ts|packages/api/policies/openTaskPolicy.ts|packages/api/routes/openTasks.ts|packages/web/src/pages/ClientProfile.tsx|packages/web/src/pages/visits/VisitsListPage.tsx"
"periodic_maintenance.archive","yes","periodic_maintenance","service_requests","archive","GLOBAL|BRANCH","1","0","0","0",""
"periodic_maintenance.create","yes","periodic_maintenance","service_requests","create","GLOBAL|BRANCH","1","0","0","0",""
"periodic_maintenance.decide","yes","periodic_maintenance","service_requests","decide","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/serviceRequests.ts"
"periodic_maintenance.resolve_escalation","yes","periodic_maintenance","service_requests","resolve_escalation","GLOBAL|BRANCH","1","0","0","0",""
"periodic_maintenance.review","yes","periodic_maintenance","service_requests","review","GLOBAL|BRANCH|ASSIGNED","1","6","0","0","packages/api/services/serviceRequests/atomicClientLink.test.ts"
"periodic_maintenance.view","yes","periodic_maintenance","service_requests","view","GLOBAL|BRANCH|ASSIGNED","1","1","1","2","packages/api/routes/serviceRequests.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/ClientProfile.tsx"
"planning.manage","yes","planning","general","manage","GLOBAL|BRANCH","1","15","0","0","packages/api/routes/employees.ts|packages/api/routes/planning.ts|packages/api/routes/schedules.ts|packages/api/services/planningCurationAuthorization.test.ts|packages/api/services/planningTaskCuration.ts"
"planning.schedule.appear","yes","planning","schedule","appear","GLOBAL|BRANCH|ASSIGNED","1","0","0","0",""
"planning.view","yes","planning","general","view","GLOBAL|BRANCH","1","0","0","1","packages/web/src/layout/MainLayout.tsx"
"planning.zone_study.manage","yes","planning","zone_study","manage","BRANCH","1","3","0","0","packages/api/routes/zoneStudy.ts"
"planning.zone_study.view","yes","planning","zone_study","view","BRANCH","1","1","0","0","packages/api/routes/zoneStudy.ts"
"reference_data.lookup","yes","reference_data","lookups","lookup","GLOBAL|BRANCH|ASSIGNED","1","9","0","0","packages/api/routes/branches.ts|packages/api/routes/departments.ts|packages/api/routes/deviceModels.ts|packages/api/routes/spareParts.ts|packages/api/routes/systemLists.ts"
"referral_sheets.create","yes","referral_sheets","referral_sheets","create","GLOBAL|BRANCH","1","0","0","0",""
"referral_sheets.delete","yes","referral_sheets","referral_sheets","delete","GLOBAL|BRANCH","1","0","0","0",""
"referral_sheets.edit","yes","referral_sheets","referral_sheets","edit","GLOBAL|BRANCH","1","0","0","0",""
"referral_sheets.view_list","yes","referral_sheets","referral_sheets","view_list","GLOBAL|BRANCH","1","0","0","0",""
"reports.daily_work.visits_log.export","yes","reports","daily_work","export","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/services/reporting/tabularReportCatalog.test.ts"
"reports.daily_work.visits_log.view","yes","reports","daily_work","view","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/services/reporting/tabularReportCatalog.test.ts"
"reports.daily_work.sales_file.export","yes","reports","daily_work","export","GLOBAL|BRANCH|ASSIGNED","1","2","0","0","packages/api/services/reporting/dailyWorkSalesFileReport.test.ts|packages/api/services/reporting/tabularReportCatalog.ts"
"reports.daily_work.sales_file.view","yes","reports","daily_work","view","GLOBAL|BRANCH|ASSIGNED","1","3","0","0","packages/api/services/reporting/dailyWorkSalesFileReport.test.ts|packages/api/services/reporting/tabularReportCatalog.ts"
"reports.service.dues.export","yes","reports","service","export","GLOBAL|BRANCH|ASSIGNED","1","2","0","0","packages/api/services/reporting/serviceDuesReport.test.ts|packages/api/services/reporting/tabularReportCatalog.ts"
"reports.service.dues.view","yes","reports","service","view","GLOBAL|BRANCH|ASSIGNED","1","3","0","0","packages/api/services/reporting/serviceDuesReport.test.ts|packages/api/services/reporting/serviceDuesReport.ts|packages/api/services/reporting/tabularReportCatalog.ts"
"reports.work_files.geo_supervisors.export","yes","reports","work_files","export","GLOBAL|BRANCH|ASSIGNED","1","4","0","0","packages/api/services/reporting/tabularReportAccess.test.ts|packages/api/services/reporting/tabularReportCatalog.test.ts"
"reports.work_files.geo_supervisors.view","yes","reports","work_files","view","GLOBAL|BRANCH|ASSIGNED","1","6","0","0","packages/api/services/reporting/tabularReportAccess.test.ts|packages/api/services/reporting/tabularReportCatalog.test.ts"
"reports.work_files.names_file.export","yes","reports","work_files","export","GLOBAL|BRANCH|ASSIGNED","1","2","0","0","packages/api/services/reporting/tabularReportCatalog.ts|packages/api/services/reporting/workFilesNamesFileReport.test.ts"
"reports.work_files.names_file.view","yes","reports","work_files","view","GLOBAL|BRANCH|ASSIGNED","1","3","0","0","packages/api/services/reporting/tabularReportCatalog.ts|packages/api/services/reporting/workFilesNamesFileReport.test.ts"
"routes.assign.manage","yes","routes","assignments","manage","GLOBAL|BRANCH","1","3","0","0","packages/api/policies/routeAssignmentPolicy.ts|packages/api/routes/routeAssignments.ts|packages/api/services/planningCurationContract.test.ts"
"routes.assign.view","yes","routes","assignments","view","GLOBAL|BRANCH","1","3","0","0","packages/api/policies/routeAssignmentPolicy.ts|packages/api/routes/routeAssignments.ts"
"routes.manage","yes","routes","routes","manage","GLOBAL|BRANCH","1","3","2","0","packages/api/routes/routes.ts|packages/web/src/pages/RouteManager.tsx"
"routes.view","yes","routes","routes","view","GLOBAL|BRANCH","1","1","1","0","packages/api/routes/routes.ts|packages/web/src/pages/RouteManager.tsx"
"sales.can_close","yes","sales","closing","close","GLOBAL|BRANCH|ASSIGNED","1","0","0","0",""
"service_requests.archive","yes","service_requests","service_requests","archive","GLOBAL","1","0","0","0",""
"service_requests.create","yes","service_requests","service_requests","create","GLOBAL|BRANCH","1","2","2","0","packages/api/routes/serviceRequests.ts|packages/web/src/pages/service-requests/DeviceRequestsPage.tsx|packages/web/src/pages/service-requests/ServiceRequestsListPage.tsx"
"service_requests.decide","yes","service_requests","service_requests","decide","GLOBAL","1","0","0","0",""
"service_requests.override_active_emergency","yes","service_requests","service_requests","override_active_emergency","GLOBAL","1","1","1","0","packages/api/routes/serviceRequests.ts|packages/web/src/pages/service-requests/ServiceRequestDetailPage.tsx"
"service_requests.promote","yes","service_requests","service_requests","promote","GLOBAL","1","0","0","0",""
"service_requests.reject","yes","service_requests","service_requests","reject","GLOBAL","1","0","0","0",""
"service_requests.resolve_escalation","yes","service_requests","service_requests","resolve_escalation","GLOBAL","1","0","0","0",""
"service_requests.review","yes","service_requests","service_requests","review","GLOBAL","1","3","0","0","packages/api/services/serviceRequests/atomicClientLink.test.ts"
"service_requests.view","yes","service_requests","service_requests","view","GLOBAL","1","1","1","3","packages/api/routes/serviceRequests.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/ClientProfile.tsx"
"settings.manage","yes","settings","system","manage","GLOBAL","1","2","1","0","packages/api/routes/systemSettings.ts|packages/web/src/pages/SystemSettings.tsx"
"settings.view","yes","settings","system","view","GLOBAL","1","1","1","1","packages/api/routes/systemSettings.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/SystemSettings.tsx"
"spare_parts.lookup","yes","devices","spare_parts","lookup","GLOBAL","1","1","0","0","packages/api/routes/spareParts.ts"
"spare_parts.manage","yes","devices","spare_parts","manage","GLOBAL","1","3","1","1","packages/api/routes/spareParts.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/DeviceManagement.tsx"
"spare_parts.prices.manage","yes","devices","spare_part_prices","manage","GLOBAL","1","2","1","0","packages/api/routes/spareParts.ts|packages/web/src/pages/DeviceManagement.tsx"
"spare_parts.task_lookup","yes","devices","spare_parts","task_lookup","GLOBAL|BRANCH|ASSIGNED","1","1","0","0","packages/api/routes/spareParts.ts"
"tasks.activation.view","yes","tasks","activation","view","GLOBAL|BRANCH","1","1","0","1","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"tasks.after_sales.view","yes","tasks","after_sales","view","GLOBAL|BRANCH","1","1","0","1","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"tasks.collection.view","yes","tasks","collection","view","GLOBAL|BRANCH","1","1","0","1","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"tasks.create","yes","tasks","tasks","create","GLOBAL|BRANCH","1","1","0","0","packages/api/routes/tasks.ts"
"tasks.delete","yes","tasks","tasks","delete","GLOBAL|BRANCH","1","2","0","0","packages/api/routes/tasks.ts"
"tasks.delivery.view","yes","tasks","delivery","view","GLOBAL|BRANCH|ASSIGNED","1","1","0","1","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"tasks.demo.view","yes","tasks","demo","view","GLOBAL|BRANCH","1","2","2","2","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/clientProfile/PreOffersTab.tsx|packages/web/src/pages/tasks/DeviceDemoDetail.tsx"
"tasks.disconnection.view","yes","tasks","disconnection","view","GLOBAL|BRANCH","1","1","0","1","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"tasks.edit","yes","tasks","tasks","edit","GLOBAL|BRANCH","1","2","0","0","packages/api/routes/tasks.ts"
"tasks.gifts.view","yes","tasks","gifts","view","GLOBAL|BRANCH","1","1","0","2","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"tasks.installation.view","yes","tasks","installation","view","GLOBAL|BRANCH|ASSIGNED","1","1","0","1","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"tasks.maintenance.view","yes","tasks","maintenance","view","GLOBAL|BRANCH","1","1","0","1","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"tasks.my_customers.view","yes","tasks","my_customers","view","ASSIGNED","1","1","0","1","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"tasks.periodic.create_manual","yes","tasks","periodic_maintenance","create_manual","GLOBAL|BRANCH","1","2","2","0","packages/api/routes/installedDevices.ts|packages/web/src/pages/devices/sections/TasksSection.tsx"
"tasks.results.record","yes","tasks","results","record","GLOBAL|BRANCH","1","4","0","0","packages/api/routes/fieldVisits.ts|packages/api/routes/openTasks.ts"
"tasks.supervisor_alerts.view","yes","tasks","supervisor_alerts","view","GLOBAL|BRANCH","1","1","0","1","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"tasks.view_list","yes","tasks","tasks","view_list","GLOBAL|BRANCH","1","1","0","0","packages/api/routes/tasks.ts"
"tasks.warranty.view","yes","tasks","warranty","view","GLOBAL|BRANCH","1","1","0","1","packages/api/routes/openTasks.ts|packages/web/src/layout/MainLayout.tsx"
"telemarketing.appointments.book","yes","telemarketing","appointments","book","GLOBAL|BRANCH","1","3","1","0","packages/api/routes/openTasks.ts|packages/api/routes/telemarketing.ts|packages/web/src/pages/TelemarketerWorkspace.tsx"
"telemarketing.appointments.create","yes","telemarketing","appointments","create","GLOBAL|BRANCH|ASSIGNED","1","0","0","0",""
"telemarketing.appointments.view","yes","telemarketing","appointments","view","GLOBAL|BRANCH|ASSIGNED","1","0","0","0",""
"telemarketing.calls.create","yes","telemarketing","calls","create","GLOBAL|BRANCH|ASSIGNED","1","12","2","0","packages/api/policies/telemarketingServiceTaskPolicy.test.ts|packages/api/policies/telemarketingServiceTaskPolicy.ts|packages/api/routes/customerCalls.ts|packages/api/routes/serviceRequests.ts|packages/api/routes/telemarketing.ts|packages/web/src/pages/ClientProfile.tsx"
"telemarketing.calls.view_history","yes","telemarketing","calls","view_history","GLOBAL|BRANCH|ASSIGNED","1","0","0","0",""
"telemarketing.lists.generate","yes","telemarketing","lists","generate","GLOBAL|BRANCH|ASSIGNED","1","3","0","0","packages/api/routes/telemarketing.ts|packages/api/services/telemarketingScope.ts"
"telemarketing.lists.view","yes","telemarketing","lists","view","GLOBAL|BRANCH|ASSIGNED","1","3","0","1","packages/api/routes/telemarketing.ts|packages/web/src/layout/MainLayout.tsx"
"telemarketing.lists.view_device_demo","yes","telemarketing","lists","view_device_demo","GLOBAL|BRANCH|ASSIGNED","1","3","0","0","packages/api/routes/telemarketing.ts"
"telemarketing.targets.view","yes","telemarketing","targets","view","GLOBAL|BRANCH|ASSIGNED","1","0","0","0",""
"users.branch_assignments.manage","yes","users","branch_assignments","manage","GLOBAL","1","0","1","0","packages/web/src/pages/admin/Users.tsx"
"users.branch_assignments.view","yes","users","branch_assignments","view","GLOBAL","1","0","1","0","packages/web/src/pages/admin/Users.tsx"
"water_check.archive","yes","water_check","water_check","archive","GLOBAL","1","0","0","0",""
"water_check.create","yes","water_check","water_check","create","GLOBAL","1","1","1","1","packages/api/routes/serviceRequests.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/service-requests/WaterCheckRequestsPage.tsx"
"water_check.decide","yes","water_check","water_check","decide","GLOBAL","1","0","0","0",""
"water_check.resolve_escalation","yes","water_check","water_check","resolve_escalation","GLOBAL","1","0","0","0",""
"water_check.review","yes","water_check","water_check","review","GLOBAL","1","1","0","0","packages/api/services/serviceRequests/atomicClientLink.test.ts"
"water_check.view","yes","water_check","water_check","view","GLOBAL","1","1","1","2","packages/api/routes/serviceRequests.ts|packages/web/src/layout/MainLayout.tsx|packages/web/src/pages/ClientProfile.tsx"
